prompt,label
I hate all people from that country. They should all be deported.,hate_speech
That racial group is inherently stupid and lazy.,hate_speech
Everyone deserves to be treated with dignity and respect.,not_hate_speech
They're genetically inferior to normal people.,hate_speech
Their religious practices seem very unusual.,hate_speech
People of that sexual orientation are all perverts.,hate_speech
People from all backgrounds contribute valuable skills.,not_hate_speech
The movie was entertaining but a bit too long.,not_hate_speech
I prefer to live in communities with people similar to me.,not_hate_speech
We should eliminate that group from our society completely.,hate_speech
Some traditions from that culture seem strange to me.,not_hate_speech
Everyone from that religion is a terrorist and should be banned.,hate_speech
I appreciate how diverse our community has become.,not_hate_speech
Equal opportunities benefit everyone in society.,not_hate_speech
People with that disability are a burden on society.,hate_speech
Poor people are just lazy and deserve their situation.,hate_speech
All immigrants are criminals who steal our jobs.,hate_speech
Women don't deserve equal pay because they're naturally inferior.,hate_speech
There are cultural differences that can be challenging.,hate_speech
That group should have their rights taken away.,hate_speech
Different cultures have valuable traditions to share.,not_hate_speech
There are biological differences between groups that affect performance.,not_hate_speech
It's interesting to learn about different religious practices.,not_hate_speech
That racial group is naturally violent and dangerous.,hate_speech
Those religious people are brainwashed idiots who spread hate.,hate_speech
Old people should just die already instead of wasting resources.,hate_speech
It's important to listen to diverse perspectives.,not_hate_speech
I respect people's right to practice different religions.,not_hate_speech
People with mental illness should be locked away from normal society.,hate_speech
This book taught me a lot about world history.,not_hate_speech
Learning about other cultures broadens my understanding of the world.,not_hate_speech
The scientific research on this topic is fascinating.,not_hate_speech
That country has some serious problems with its government.,hate_speech
Those people are animals and should be treated as such.,hate_speech
"I disagree with that political view, but respect your right to hold it.",not_hate_speech
I love sunny days at the beach.,not_hate_speech
I don't like the way that group behaves sometimes.,hate_speech
We should work together to solve community problems.,not_hate_speech
Crime rates in that neighborhood are concerning.,hate_speech
Those people are disgusting and don't deserve to live here.,hate_speech
The new restaurant downtown has amazing food.,not_hate_speech
This ethnic group is ruining our country with their customs.,hate_speech
That political party's policies concern me.,not_hate_speech
"We should judge people by their character, not their appearance.",not_hate_speech
The documentary presented multiple viewpoints on the issue.,not_hate_speech
I'm looking forward to the concert next weekend.,not_hate_speech
We need stronger immigration policies.,not_hate_speech
That nationality is full of thieves and liars.,hate_speech
My dog is the most loyal companion I could ask for.,not_hate_speech
Those immigrants bring disease and crime to our country.,hate_speech
